Date,BusinessName,Category,Amount,cardNumber
1/1/2024,Starbucks,Food & Beverage,5.75,1234123412341234
2/1/2024,Amazon,Retail & Shopping,52.99,1234123412341234
3/2/2024,Dunkin' Donuts,Food & Beverage,4.5,1234123412341234
5/2/2024,Walmart,Retail & Shopping,35.2,1234123412341234
6/2/2024,Netflix,Entertainment,14.99,1234123412341234
7/2/2024,Chipotle,Food & Beverage,11.5,1234123412341234
10/2/2024,Apple,Electronics,899.99,1234567812345678
11/2/2024,Target,Retail & Shopping,62.75,1234567812345678
12/2/2024,Spotify,Entertainment,9.99,1234567812345678
13/02/2024,Best Buy,Electronics,120.45,1234567812345678
15/02/2024,McDonald's,Food & Beverage,8.25,1234567812345678
16/02/2024,H&M,Retail & Shopping,44.8,8765432187654321
18/02/2024,Uber,Transportation,22.9,1234567812345678
19/02/2024,Amazon,Retail & Shopping,13.59,8765432187654321
20/02/2024,Starbucks,Food & Beverage,6.95,8765432187654321
25/3/2024,Subway,Food & Beverage,7.3,8765432187654321
5/4/2024,Amazon,Retail & Shopping,65,8765432187654321
10/4/2024,Netflix,Entertainment,14.99,9999999999999999
12/4/2024,Walmart,Retail & Shopping,20.55,9999999999999999
17/4/2024,Target,Retail & Shopping,45.3,1234123412341234
22/4/2024,Starbucks,Food & Beverage,5.5,1234123412341234
25/5/2024,McDonald's,Food & Beverage,8,1234123412341234
7/6/2024,Best Buy,Electronics,230.25,9999999999999990
15/6/2024,Chipotle,Food & Beverage,12.2,9999999999999990
22/6/2024,Amazon,Retail & Shopping,18.7,9999999999999990
29/6/2024,Uber,Transportation,25,9999999999999990
2/7/2024,Apple,Electronics,999.99,9999999999999990
9/7/2024,Spotify,Entertainment,9.99,9999999999999990
14/7/2024,H&M,Retail & Shopping,39.99,1234123412341234
18/7/2024,Dunkin' Donuts,Food & Beverage,5,1234123412341234
22/7/2024,Target,Retail & Shopping,61.3,1234123412341234
30/7/2024,Chipotle,Food & Beverage,13.4,9999999999999990
3/8/2024,Walmart,Retail & Shopping,48.6,9999999999999990
12/8/2024,Subway,Food & Beverage,6.5,9999999999999990
16/8/2024,Starbucks,Food & Beverage,7.75,9999999999999990
25/8/2024,Best Buy,Electronics,150,9999999999999990
1/9/2024,Apple,Electronics,950,9999999999999990
5/9/2024,Amazon,Retail & Shopping,22.45,9999999999999990
10/9/2024,Netflix,Entertainment,14.99,9999999999999990
15/9/2024,Chipotle,Food & Beverage,11.25,9999999999999990
22/9/2024,Target,Retail & Shopping,57.2,9999999999999990
30/9/2024,Uber,Transportation,20.5,1234123412341234
2/10/2024,Walmart,Retail & Shopping,30,1234123412341234
9/10/2024,H&M,Retail & Shopping,49.5,1234123412341234
15/10/2024,Starbucks,Food & Beverage,6,1234123412341234
22/10/2024,Chipotle,Food & Beverage,11.7,1234123412341234
31/10/2024,Amazon,Retail & Shopping,89.5,9999999999999990
5/11/2024,Target,Retail & Shopping,40.3,1234567812347890
10/11/2024,McDonald's,Food & Beverage,7.9,1234567812347890
15/11/2024,Best Buy,Electronics,175.65,1234123412341234
20/11/2024,Netflix,Entertainment,14.99,1234123412341234
25/11/2024,Starbucks,Food & Beverage,5,9999999999999990
3/12/2024,Amazon,Retail & Shopping,62.2,1234567812347890
10/12/2024,Uber,Transportation,24,1234567812347890
12/12/2024,Apple,Electronics,899,9999999999999990
17/12/2024,Target,Retail & Shopping,56.8,1234567812347890
25/12/2024,McDonald's,Food & Beverage,9.25,1234567812347890
18/1/2025,Target,Retail & Shopping,15.9,1234567812347890
19/1/2025,Starbucks,Food & Beverage,20.7,1234567812347890
22/1/2025,McDonald's,Food & Beverage,40.9,1234567812347890
25/1/2025,Amazon,Retail & Shopping,105.9,1234567812347890
27/1/2025,Uber,Transportation,20.6,1234567812347890
1/2/2025,ruppin,studies,980.7,1234567812347890
2/2/2025,ruppin dorms,studies,580.99,1234567812347890
5/2/2025,yellow,Food & Beverage,20.6,1234567812347890
4/2/2025,sonol,Food & Beverage,100.6,9999999999999990
6/2/2025,karnaf,Food & Beverage,70.3,1234567812347890
10/2/2025,Amazon,Retail & Shopping,60.7,1234123412341234
19/2/2025,Netflix,Entertainment,40.9,1234123412341234
1/3/2025,McDonald's,Food & Beverage,10.9,1234123412341234
2/3/2025,ruppin,studies,10.9,9999999999999990
10/3/2025,Walmart,Retail & Shopping,107.9,1234123412341234
